round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Rafael Nadal,7-5 3-6 7-6(3) 3-6 6-2,2009,m,Rafael Nadal,Roger Federer,ESP,SUI,64%,52%,4,11,4,6,66%,73%,48%,45%,196.0,204.0,179.0,183.0,143.0,156.0,44%,32%,40%,41%,173,174,50.0,71.0,41.0,64.0,58%,72%
semi,Rafael Nadal,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,2009,m,Rafael Nadal,Fernando Verdasco,ESP,ESP,74%,69%,12,20,3,4,72%,71%,62%,55%,200.0,220.0,182.0,188.0,143.0,158.0,20%,50%,34%,31%,193,192,52.0,95.0,25.0,76.0,70%,65%
semi,Roger Federer,6-2 7-5 7-5,2009,m,Roger Federer,Andy Roddick,SUI,USA,66%,65%,16,8,0,2,83%,70%,58%,52%,208.0,224.0,188.0,206.0,156.0,172.0,31%,0%,36%,26%,105,85,51.0,38.0,15.0,18.0,63%,50%
quarter,Rafael Nadal,6-2 7-5 7-5,2009,m,Rafael Nadal,Gilles Simon,ESP,FRA,67%,55%,5,4,2,4,73%,71%,58%,38%,203.0,203.0,183.0,182.0,140.0,135.0,58%,43%,44%,32%,105,83,29.0,42.0,24.0,41.0,87%,66%
quarter,Fernando Verdasco,7-6(2) 3-6 6-3 6-2,2009,m,Fernando Verdasco,Jo-Wilfried Tsonga,ESP,FRA,78%,65%,7,9,3,3,69%,72%,59%,49%,216.0,216.0,174.0,185.0,154.0,150.0,100%,15%,36%,33%,129,114,36.0,46.0,29.0,40.0,70%,61%
quarter,Roger Federer,6-3 6-0 6-0,2009,m,Roger Federer,Juan Martin Del Potro,SUI,ARG,70%,59%,12,5,0,2,86%,46%,75%,33%,204.0,209.0,188.0,192.0,159.0,151.0,64%,-,59%,17%,83,36,38.0,8.0,9.0,24.0,84%,45%
quarter,Andy Roddick,6-7(3) 6-4 6-2 2-1 ret.,2009,m,Andy Roddick,Novak Djokovic,USA,SRB,71%,62%,16,8,5,5,87%,63%,44%,48%,224.0,203.0,203.0,185.0,171.0,164.0,42%,100%,43%,25%,114,88,43.0,43.0,14.0,39.0,54%,50%
Fourth,Rafael Nadal,6-3 6-2 6-4,2009,m,Rafael Nadal,Fernando Gonzalez,ESP,CHI,67%,69%,4,6,0,2,78%,59%,63%,36%,196.0,206.0,180.0,177.0,143.0,148.0,46%,29%,48%,27%,96,66,33.0,22.0,11.0,35.0,71%,44%
Fourth,Jo-Wilfried Tsonga,6-4 6-4 7-6(3),2009,m,Jo-Wilfried Tsonga,James Blake,FRA,USA,64%,53%,12,4,3,5,84%,67%,46%,59%,220.0,206.0,195.0,185.0,150.0,153.0,50%,25%,37%,30%,111,97,46.0,32.0,31.0,27.0,61%,76%
Fourth,Gilles Simon,6-4 2-6 6-1 ret.,2009,m,Gilles Simon,Gael Monfils,FRA,FRA,64%,57%,3,1,4,3,71%,59%,36%,41%,196.0,212.0,174.0,171.0,134.0,138.0,50%,44%,49%,42%,89,78,29.0,21.0,36.0,31.0,66%,59%
Fourth,Fernando Verdasco,2-6 6-1 1-6 6-3 6-4,2009,m,Fernando Verdasco,Andy Murray,ESP,GBR,74%,61%,10,7,6,3,69%,62%,34%,56%,216.0,212.0,175.0,182.0,156.0,132.0,29%,38%,40%,40%,137,138,51.0,52.0,50.0,40.0,64%,68%
Fourth,Juan Martin Del Potro,5-7 6-4 6-4 6-2,2009,m,Juan Martin Del Potro,Marin Cilic,ARG,CRO,67%,50%,8,10,3,1,70%,70%,53%,53%,214.0,209.0,185.0,192.0,153.0,145.0,60%,30%,39%,36%,133,119,27.0,48.0,45.0,64.0,77%,81%
Fourth,Andy Roddick,7-5 6-1 6-3,2009,m,Andy Roddick,Tommy Robredo,USA,ESP,63%,68%,13,0,2,2,84%,63%,59%,50%,217.0,196.0,206.0,171.0,169.0,148.0,71%,0%,41%,26%,91,67,34.0,20.0,27.0,24.0,69%,77%
Fourth,Roger Federer,4-6 6-7(4) 6-4 6-4 6-2,2009,m,Roger Federer,Tomas Berdych,SUI,CZE,67%,61%,20,8,5,2,71%,71%,46%,46%,204.0,214.0,187.0,195.0,156.0,158.0,67%,42%,39%,37%,159,151,61.0,58.0,40.0,42.0,69%,50%
Fourth,Novak Djokovic,6-1 7-6(1) 6-7(5) 6-2,2009,m,Novak Djokovic,Marcos Baghdatis,SRB,CYP,63%,54%,3,12,3,2,74%,64%,56%,46%,206.0,208.0,187.0,187.0,159.0,150.0,29%,20%,44%,33%,147,118,36.0,37.0,49.0,53.0,76%,67%
Third,James Blake,6-3 6-2 3-6 6-1,2009,m,James Blake,Igor Andreev,USA,RUS,61%,58%,6,5,0,2,77%,71%,65%,38%,208.0,206.0,179.0,180.0,150.0,146.0,50%,20%,43%,27%,115,83,37.0,21.0,36.0,29.0,68%,57%
Third,Fernando Gonzalez,3-6 3-6 7-6(10) 6-2 12-10,2009,m,Fernando Gonzalez,Richard Gasquet,CHI,FRA,69%,64%,14,11,7,7,72%,81%,48%,41%,204.0,209.0,172.0,183.0,143.0,151.0,43%,43%,34%,35%,191,191,85.0,80.0,51.0,58.0,67%,77%
Third,Gael Monfils,6-4 6-3 7-5,2009,m,Gael Monfils,Nicolas Almagro,FRA,ESP,66%,68%,12,10,0,2,76%,63%,47%,52%,204.0,208.0,172.0,179.0,137.0,148.0,50%,20%,41%,34%,106,91,36.0,42.0,24.0,43.0,46%,62%
Third,Fernando Verdasco,6-4 6-0 6-0,2009,m,Fernando Verdasco,Radek Stepanek,ESP,CZE,81%,56%,1,2,2,5,71%,44%,46%,30%,203.0,188.0,169.0,179.0,154.0,151.0,45%,20%,62%,33%,99,55,34.0,23.0,15.0,39.0,79%,44%
Third,Jo-Wilfried Tsonga,6-4 6-2 1-6 6-1,2009,m,Jo-Wilfried Tsonga,Dudi Sela,FRA,ISR,62%,55%,5,0,2,2,70%,63%,55%,48%,220.0,172.0,190.0,166.0,150.0,142.0,38%,27%,44%,36%,110,93,36.0,19.0,36.0,25.0,72%,60%
